"year","pdo","era","npgo","variable","value","variable_era","scale_x","system","ï..year"
1995,0.188,"2",-1.750743963,"SBRD.BRCO.PROD",0.517,"2SBRD.BRCO.PROD",0.685308167712126,"Central California Current",NA
1996,-0.08,"2",-0.972205973,"SBRD.BRCO.PROD",0.779,"2SBRD.BRCO.PROD",1.01130917338897,"Central California Current",NA
1997,0.345,"2",-0.872874358,"SBRD.BRCO.PROD",0.455,"2SBRD.BRCO.PROD",0.608162891559589,"Central California Current",NA
1998,0.741,"2",-0.207043223,"SBRD.BRCO.PROD",-1.016,"2SBRD.BRCO.PROD",-1.22217099909173,"Central California Current",NA
1999,0.392,"2",1.060346525,"SBRD.BRCO.PROD",1.003,"2SBRD.BRCO.PROD",1.2900275904562,"Central California Current",NA
2000,-0.849,"2",1.48981569,"SBRD.BRCO.PROD",0.866,"2SBRD.BRCO.PROD",1.11956141573205,"Central California Current",NA
2001,-0.489,"2",2.04370374,"SBRD.BRCO.PROD",0.567,"2SBRD.BRCO.PROD",0.747522100093204,"Central California Current",NA
2002,-0.166,"2",2.21101428,"SBRD.BRCO.PROD",0.592,"2SBRD.BRCO.PROD",0.778629066283743,"Central California Current",NA
2003,0.597,"2",1.847202098,"SBRD.BRCO.PROD",-0.417,"2SBRD.BRCO.PROD",-0.476848089166411,"Central California Current",NA
2004,1.133,"2",1.017340841,"SBRD.BRCO.PROD",0.754,"2SBRD.BRCO.PROD",0.980202207198435,"Central California Current",NA
2005,0.418,"2",-0.464178828,"SBRD.BRCO.PROD",0.517,"2SBRD.BRCO.PROD",0.685308167712126,"Central California Current",NA
2006,0.225,"2",-1.140552009,"SBRD.BRCO.PROD",0.629,"2SBRD.BRCO.PROD",0.82466737624574,"Central California Current",NA
2007,0.005,"2",-0.758874825,"SBRD.BRCO.PROD",0.741,"2SBRD.BRCO.PROD",0.964026584779355,"Central California Current",NA
2008,-0.453,"2",0.200113124,"SBRD.BRCO.PROD",-1.053,"2SBRD.BRCO.PROD",-1.26820930905372,"Central California Current",NA
2009,-1.08,"2",0.863074104,"SBRD.BRCO.PROD",-1.427,"2SBRD.BRCO.PROD",-1.73356952326419,"Central California Current",NA
2010,-0.489,"2",1.205527493,"SBRD.BRCO.PROD",-0.629,"2SBRD.BRCO.PROD",-0.740635162462182,"Central California Current",NA
2011,-0.27,"2",1.151701801,"SBRD.BRCO.PROD",-1.34,"2SBRD.BRCO.PROD",-1.62531728092111,"Central California Current",NA
2012,-1.187,"2",0.715919051,"SBRD.BRCO.PROD",-1.364,"2SBRD.BRCO.PROD",-1.65517996846403,"Central California Current",NA
2013,-0.966,"2",0.899579929,"SBRD.BRCO.PROD",1.028,"2SBRD.BRCO.PROD",1.32113455664674,"Central California Current",NA
1971,-0.319,"1",0.0186527207,"SBRD.CAAU.PROD",0.012,"1SBRD.CAAU.PROD",0.0666292199160142,"Central California Current",NA
1972,-1.612,"1",-0.1452385196,"SBRD.CAAU.PROD",0.012,"1SBRD.CAAU.PROD",0.0666292199160142,"Central California Current",NA
1973,-1.036,"1",-0.3421107999,"SBRD.CAAU.PROD",0.107,"1SBRD.CAAU.PROD",0.374177653087673,"Central California Current",NA
1974,-0.767,"1",-0.313227463,"SBRD.CAAU.PROD",-0.008,"1SBRD.CAAU.PROD",0.00188218135355972,"Central California Current",NA
1975,-0.809,"1",0.1908359156,"SBRD.CAAU.PROD",-0.033,"1SBRD.CAAU.PROD",-0.0790516168495083,"Central California Current",NA
1976,-0.939,"1",0.93921303,"SBRD.CAAU.PROD",-0.07,"1SBRD.CAAU.PROD",-0.198833638190049,"Central California Current",NA
1977,-0.169,"1",1.41536357,"SBRD.CAAU.PROD",0.008,"1SBRD.CAAU.PROD",0.0536798122035233,"Central California Current",NA
1978,0.767,"1",1.32380542,"SBRD.CAAU.PROD",-0.045,"1SBRD.CAAU.PROD",-0.117899839986981,"Central California Current",NA
1979,-0.039,"1",0.262731659,"SBRD.CAAU.PROD",0.145,"1SBRD.CAAU.PROD",0.497197026356336,"Central California Current",NA
1980,0.025,"1",-0.856092138,"SBRD.CAAU.PROD",-0.153,"1SBRD.CAAU.PROD",-0.467533848224235,"Central California Current",NA
1981,0.567,"1",-0.823966005,"SBRD.CAAU.PROD",0.021,"1SBRD.CAAU.PROD",0.0957653872691187,"Central California Current",NA
1982,0.551,"1",-0.284655343,"SBRD.CAAU.PROD",-0.041,"1SBRD.CAAU.PROD",-0.10495043227449,"Central California Current",NA
1983,0.602,"1",-0.000825666000000225,"SBRD.CAAU.PROD",-0.508,"1SBRD.CAAU.PROD",-1.6167937827078,"Central California Current",NA
1984,1.101,"1",0.119633917,"SBRD.CAAU.PROD",-0.008,"1SBRD.CAAU.PROD",0.00188218135355972,"Central California Current",NA
1985,1.15,"1",0.2393402039,"SBRD.CAAU.PROD",-0.062,"1SBRD.CAAU.PROD",-0.172934822765067,"Central California Current",NA
1986,0.885,"1",-0.4553155771,"SBRD.CAAU.PROD",0,"1SBRD.CAAU.PROD",0.0277809967785415,"Central California Current",NA
1987,1.381,"1",-0.537648356,"SBRD.CAAU.PROD",-0.021,"1SBRD.CAAU.PROD",-0.0402033937120357,"Central California Current",NA
1988,1.56,"1",0.486616328,"SBRD.CAAU.PROD",0.174,"1SBRD.CAAU.PROD",0.591080232271895,"Central California Current",NA
1989,0.308,"2",0.898568807,"SBRD.CAAU.PROD",-0.153,"2SBRD.CAAU.PROD",-0.467533848224235,"Central California Current",NA
1990,-0.553,"2",0.506979064,"SBRD.CAAU.PROD",-0.43,"2SBRD.CAAU.PROD",-1.36428033231423,"Central California Current",NA
1991,-1.015,"2",-0.395936969,"SBRD.CAAU.PROD",-0.178,"2SBRD.CAAU.PROD",-0.548467646427303,"Central California Current",NA
1992,-0.633,"2",-0.52970458,"SBRD.CAAU.PROD",-0.5,"2SBRD.CAAU.PROD",-1.59089496728282,"Central California Current",NA
1993,0.4,"2",-1.101862623,"SBRD.CAAU.PROD",-0.169,"2SBRD.CAAU.PROD",-0.519331479074199,"Central California Current",NA
1994,0.737,"2",-2.0536766,"SBRD.CAAU.PROD",0.252,"2SBRD.CAAU.PROD",0.843593682665467,"Central California Current",NA
1995,0.188,"2",-1.750743963,"SBRD.CAAU.PROD",0,"2SBRD.CAAU.PROD",0.0277809967785415,"Central California Current",NA
1996,-0.08,"2",-0.972205973,"SBRD.CAAU.PROD",0.066,"2SBRD.CAAU.PROD",0.241446224034641,"Central California Current",NA
1997,0.345,"2",-0.872874358,"SBRD.CAAU.PROD",-0.202,"2SBRD.CAAU.PROD",-0.626164092702248,"Central California Current",NA
1998,0.741,"2",-0.207043223,"SBRD.CAAU.PROD",0.037,"2SBRD.CAAU.PROD",0.147563018119082,"Central California Current",NA
1999,0.392,"2",1.060346525,"SBRD.CAAU.PROD",0.087,"2SBRD.CAAU.PROD",0.309430614525218,"Central California Current",NA
2000,-0.849,"2",1.48981569,"SBRD.CAAU.PROD",0.079,"2SBRD.CAAU.PROD",0.283531799100237,"Central California Current",NA
2001,-0.489,"2",2.04370374,"SBRD.CAAU.PROD",0.302,"2SBRD.CAAU.PROD",1.0054612790716,"Central California Current",NA
2002,-0.166,"2",2.21101428,"SBRD.CAAU.PROD",0.442,"2SBRD.CAAU.PROD",1.45869054900878,"Central California Current",NA
2003,0.597,"2",1.847202098,"SBRD.CAAU.PROD",0.153,"2SBRD.CAAU.PROD",0.523095841781318,"Central California Current",NA
2004,1.133,"2",1.017340841,"SBRD.CAAU.PROD",-0.103,"2SBRD.CAAU.PROD",-0.305666251818099,"Central California Current",NA
2005,0.418,"2",-0.464178828,"SBRD.CAAU.PROD",-0.748,"2SBRD.CAAU.PROD",-2.39375824545725,"Central California Current",NA
2006,0.225,"2",-1.140552009,"SBRD.CAAU.PROD",-0.748,"2SBRD.CAAU.PROD",-2.39375824545725,"Central California Current",NA
2007,0.005,"2",-0.758874825,"SBRD.CAAU.PROD",-0.388,"2SBRD.CAAU.PROD",-1.22831155133307,"Central California Current",NA
2008,-0.453,"2",0.200113124,"SBRD.CAAU.PROD",-0.103,"2SBRD.CAAU.PROD",-0.305666251818099,"Central California Current",NA
2009,-1.08,"2",0.863074104,"SBRD.CAAU.PROD",0.19,"2SBRD.CAAU.PROD",0.642877863121859,"Central California Current",NA
2010,-0.489,"2",1.205527493,"SBRD.CAAU.PROD",0.88,"2SBRD.CAAU.PROD",2.87665069352654,"Central California Current",NA
2011,-0.27,"2",1.151701801,"SBRD.CAAU.PROD",0.446,"2SBRD.CAAU.PROD",1.47163995672128,"Central California Current",NA
2012,-1.187,"2",0.715919051,"SBRD.CAAU.PROD",0.488,"2SBRD.CAAU.PROD",1.60760873770243,"Central California Current",NA
2013,-0.966,"2",0.899579929,"SBRD.CAAU.PROD",0.401,"2SBRD.CAAU.PROD",1.32595911995575,"Central California Current",NA
1971,-0.319,"1",0.0186527207,"SBRD.COMU.PROD",0.056,"1SBRD.COMU.PROD",0.251178905249127,"Central California Current",NA
1972,-1.612,"1",-0.1452385196,"SBRD.COMU.PROD",0.052,"1SBRD.COMU.PROD",0.232476406676464,"Central California Current",NA
1973,-1.036,"1",-0.3421107999,"SBRD.COMU.PROD",0.189,"1SBRD.COMU.PROD",0.873036982790147,"Central California Current",NA
1974,-0.767,"1",-0.313227463,"SBRD.COMU.PROD",0.173,"1SBRD.COMU.PROD",0.798226988499498,"Central California Current",NA
1975,-0.809,"1",0.1908359156,"SBRD.COMU.PROD",0.023,"1SBRD.COMU.PROD",0.0968832920246632,"Central California Current",NA
1976,-0.939,"1",0.93921303,"SBRD.COMU.PROD",0.085,"1SBRD.COMU.PROD",0.386772019900928,"Central California Current",NA
1977,-0.169,"1",1.41536357,"SBRD.COMU.PROD",-0.056,"1SBRD.COMU.PROD",-0.272491054785416,"Central California Current",NA
1978,0.767,"1",1.32380542,"SBRD.COMU.PROD",0.123,"1SBRD.COMU.PROD",0.56444575634122,"Central California Current",NA
1979,-0.039,"1",0.262731659,"SBRD.COMU.PROD",0.189,"1SBRD.COMU.PROD",0.873036982790147,"Central California Current",NA
1980,0.025,"1",-0.856092138,"SBRD.COMU.PROD",0.164,"1SBRD.COMU.PROD",0.756146366711008,"Central California Current",NA
1981,0.567,"1",-0.823966005,"SBRD.COMU.PROD",0.181,"1SBRD.COMU.PROD",0.835631985644822,"Central California Current",NA
1982,0.551,"1",-0.284655343,"SBRD.COMU.PROD",-0.688,"1SBRD.COMU.PROD",-3.22748582926605,"Central California Current",NA
1983,0.602,"1",-0.000825666000000225,"SBRD.COMU.PROD",0.006,"1SBRD.COMU.PROD",0.0173976730908486,"Central California Current",NA
1984,1.101,"1",0.119633917,"SBRD.COMU.PROD",0.073,"1SBRD.COMU.PROD",0.330664524182941,"Central California Current",NA
1985,1.15,"1",0.2393402039,"SBRD.COMU.PROD",0.002,"1SBRD.COMU.PROD",-0.00130482548181365,"Central California Current",NA
1986,0.885,"1",-0.4553155771,"SBRD.COMU.PROD",0.123,"1SBRD.COMU.PROD",0.56444575634122,"Central California Current",NA
1987,1.381,"1",-0.537648356,"SBRD.COMU.PROD",0.173,"1SBRD.COMU.PROD",0.798226988499498,"Central California Current",NA
1988,1.56,"1",0.486616328,"SBRD.COMU.PROD",0.131,"1SBRD.COMU.PROD",0.601850753486544,"Central California Current",NA
1989,0.308,"2",0.898568807,"SBRD.COMU.PROD",0.098,"2SBRD.COMU.PROD",0.44755514026208,"Central California Current",NA
1990,-0.553,"2",0.506979064,"SBRD.COMU.PROD",0.156,"2SBRD.COMU.PROD",0.718741369565683,"Central California Current",NA
1991,-1.015,"2",-0.395936969,"SBRD.COMU.PROD",-0.647,"2SBRD.COMU.PROD",-3.03578521889626,"Central California Current",NA
1992,-0.633,"2",-0.52970458,"SBRD.COMU.PROD",0.023,"2SBRD.COMU.PROD",0.0968832920246632,"Central California Current",NA
1993,0.4,"2",-1.101862623,"SBRD.COMU.PROD",0.098,"2SBRD.COMU.PROD",0.44755514026208,"Central California Current",NA
1994,0.737,"2",-2.0536766,"SBRD.COMU.PROD",0.11,"2SBRD.COMU.PROD",0.503662635980067,"Central California Current",NA
1995,0.188,"2",-1.750743963,"SBRD.COMU.PROD",-0.119,"2SBRD.COMU.PROD",-0.567055407304847,"Central California Current",NA
1996,-0.08,"2",-0.972205973,"SBRD.COMU.PROD",0.027,"2SBRD.COMU.PROD",0.115585790597325,"Central California Current",NA
1997,0.345,"2",-0.872874358,"SBRD.COMU.PROD",-0.339,"2SBRD.COMU.PROD",-1.59569282880127,"Central California Current",NA
1998,0.741,"2",-0.207043223,"SBRD.COMU.PROD",0.094,"2SBRD.COMU.PROD",0.428852641689418,"Central California Current",NA
1999,0.392,"2",1.060346525,"SBRD.COMU.PROD",0.094,"2SBRD.COMU.PROD",0.428852641689418,"Central California Current",NA
2000,-0.849,"2",1.48981569,"SBRD.COMU.PROD",0.081,"2SBRD.COMU.PROD",0.368069521328266,"Central California Current",NA
2001,-0.489,"2",2.04370374,"SBRD.COMU.PROD",0.044,"2SBRD.COMU.PROD",0.19507140953114,"Central California Current",NA
2002,-0.166,"2",2.21101428,"SBRD.COMU.PROD",-0.01,"2SBRD.COMU.PROD",-0.0574123211998004,"Central California Current",NA
2003,0.597,"2",1.847202098,"SBRD.COMU.PROD",0.119,"2SBRD.COMU.PROD",0.545743257768557,"Central California Current",NA
2004,1.133,"2",1.017340841,"SBRD.COMU.PROD",-0.222,"2SBRD.COMU.PROD",-1.0486447455509,"Central California Current",NA
2005,0.418,"2",-0.464178828,"SBRD.COMU.PROD",-0.326,"2SBRD.COMU.PROD",-1.53490970844012,"Central California Current",NA
2006,0.225,"2",-1.140552009,"SBRD.COMU.PROD",0.098,"2SBRD.COMU.PROD",0.44755514026208,"Central California Current",NA
2007,0.005,"2",-0.758874825,"SBRD.COMU.PROD",0.073,"2SBRD.COMU.PROD",0.330664524182941,"Central California Current",NA
2008,-0.453,"2",0.200113124,"SBRD.COMU.PROD",-0.576,"2SBRD.COMU.PROD",-2.70381586923151,"Central California Current",NA
2009,-1.08,"2",0.863074104,"SBRD.COMU.PROD",0.152,"2SBRD.COMU.PROD",0.700038870993021,"Central California Current",NA
2010,-0.489,"2",1.205527493,"SBRD.COMU.PROD",-0.019,"2SBRD.COMU.PROD",-0.0994929429882905,"Central California Current",NA
2011,-0.27,"2",1.151701801,"SBRD.COMU.PROD",0.056,"2SBRD.COMU.PROD",0.251178905249127,"Central California Current",NA
2012,-1.187,"2",0.715919051,"SBRD.COMU.PROD",0.098,"2SBRD.COMU.PROD",0.44755514026208,"Central California Current",NA
2013,-0.966,"2",0.899579929,"SBRD.COMU.PROD",-0.064,"2SBRD.COMU.PROD",-0.309896051930741,"Central California Current",NA
1971,-0.319,"1",0.0186527207,"SBRD.PECO.PROD",-0.199,"1SBRD.PECO.PROD",-0.174659789490555,"Central California Current",NA
1972,-1.612,"1",-0.1452385196,"SBRD.PECO.PROD",-0.407,"1SBRD.PECO.PROD",-0.404152540658987,"Central California Current",NA
1973,-1.036,"1",-0.3421107999,"SBRD.PECO.PROD",-0.332,"1SBRD.PECO.PROD",-0.321402750574216,"Central California Current",NA
1974,-0.767,"1",-0.313227463,"SBRD.PECO.PROD",-0.589,"1SBRD.PECO.PROD",-0.604958697931366,"Central California Current",NA
1975,-0.809,"1",0.1908359156,"SBRD.PECO.PROD",0.473,"1SBRD.PECO.PROD",0.566778329668997,"Central California Current",NA
1976,-0.939,"1",0.93921303,"SBRD.PECO.PROD",-1.012,"1SBRD.PECO.PROD",-1.07166751400948,"Central California Current",NA
1977,-0.169,"1",1.41536357,"SBRD.PECO.PROD",1.12,"1SBRD.PECO.PROD",1.28063318546696,"Central California Current",NA
1978,0.767,"1",1.32380542,"SBRD.PECO.PROD",-1.004,"1SBRD.PECO.PROD",-1.06284086973377,"Central California Current",NA
1979,-0.039,"1",0.262731659,"SBRD.PECO.PROD",0.963,"1SBRD.PECO.PROD",1.10741029155617,"Central California Current",NA
1980,0.025,"1",-0.856092138,"SBRD.PECO.PROD",-1.012,"1SBRD.PECO.PROD",-1.07166751400948,"Central California Current",NA
1981,0.567,"1",-0.823966005,"SBRD.PECO.PROD",1.237,"1SBRD.PECO.PROD",1.4097228579992,"Central California Current",NA
1982,0.551,"1",-0.284655343,"SBRD.PECO.PROD",-0.855,"1SBRD.PECO.PROD",-0.898444620098688,"Central California Current",NA
1983,0.602,"1",-0.000825666000000225,"SBRD.PECO.PROD",-1.012,"1SBRD.PECO.PROD",-1.07166751400948,"Central California Current",NA
1984,1.101,"1",0.119633917,"SBRD.PECO.PROD",-0.34,"1SBRD.PECO.PROD",-0.330229394849925,"Central California Current",NA
1985,1.15,"1",0.2393402039,"SBRD.PECO.PROD",1.062,"1SBRD.PECO.PROD",1.21664001446807,"Central California Current",NA
1986,0.885,"1",-0.4553155771,"SBRD.PECO.PROD",1.494,"1SBRD.PECO.PROD",1.69327880535635,"Central California Current",NA
1987,1.381,"1",-0.537648356,"SBRD.PECO.PROD",0.398,"1SBRD.PECO.PROD",0.484028539584226,"Central California Current",NA
1988,1.56,"1",0.486616328,"SBRD.PECO.PROD",-0.905,"1SBRD.PECO.PROD",-0.953611146821869,"Central California Current",NA
1989,0.308,"2",0.898568807,"SBRD.PECO.PROD",-0.988,"2SBRD.PECO.PROD",-1.04518758118235,"Central California Current",NA
1990,-0.553,"2",0.506979064,"SBRD.PECO.PROD",-1.021,"2SBRD.PECO.PROD",-1.08159748881965,"Central California Current",NA
1991,-1.015,"2",-0.395936969,"SBRD.PECO.PROD",0.697,"2SBRD.PECO.PROD",0.813924369388847,"Central California Current",NA
1992,-0.633,"2",-0.52970458,"SBRD.PECO.PROD",-1.012,"2SBRD.PECO.PROD",-1.07166751400948,"Central California Current",NA
1993,0.4,"2",-1.101862623,"SBRD.PECO.PROD",-1.012,"2SBRD.PECO.PROD",-1.07166751400948,"Central California Current",NA
1994,0.737,"2",-2.0536766,"SBRD.PECO.PROD",-0.149,"2SBRD.PECO.PROD",-0.119493262767374,"Central California Current",NA
1995,0.188,"2",-1.750743963,"SBRD.PECO.PROD",0.199,"2SBRD.PECO.PROD",0.264465763225965,"Central California Current",NA
